Income,Age,Years_of_Experience,Married/Single,Years_in_Current_Job,Years_in_Current_House,Owns_a_Car,Owns_a_House,Renting_a_House,Defaulted
5830632,35,15,1,13,11,0,0,1,0
6509681,30,10,1,10,10,1,0,1,0
2065698,24,10,1,5,11,1,0,1,1
9856572,75,8,1,8,12,0,0,1,0
9090676,45,13,1,9,10,0,0,1,1
6530407,54,2,1,2,11,0,0,1,0
9576816,45,5,1,5,14,0,0,1,1
2582117,54,11,1,3,14,1,0,1,1
527900,61,9,1,9,10,1,0,1,0
1923313,71,5,1,3,10,0,0,1,1
6830726,29,20,0,3,14,1,0,1,1
670260,70,16,1,14,14,0,0,1,1
1355758,35,10,1,10,12,0,0,1,0
1227823,30,5,1,5,13,1,0,1,0
3115639,35,14,1,14,10,1,0,1,0
3371958,23,15,1,4,12,0,0,1,1
5127918,75,13,0,13,10,0,0,1,0
6625727,65,3,1,3,13,0,0,1,0
722602,60,19,1,9,14,0,0,1,0
4247262,62,15,0,4,10,0,0,1,1
7433875,32,12,1,11,10,1,0,1,1
9979065,49,8,1,8,13,1,0,1,1
6235975,31,8,0,4,10,1,0,1,0
8723870,71,16,1,14,13,0,0,1,0
3411758,35,20,1,4,12,1,0,1,1
4251239,79,2,1,2,14,0,0,1,1
6394552,54,0,1,0,11,1,0,1,1
9024247,54,20,0,4,14,1,0,1,0
5663627,29,0,0,0,14,1,0,1,1
3015283,46,15,1,13,10,0,0,1,0
6638529,69,1,1,1,10,0,0,1,0
5707684,40,2,1,2,11,0,0,1,0
8189113,72,1,1,1,12,0,0,1,1
9912721,57,14,1,5,14,0,0,1,1
5023035,26,10,1,9,13,1,0,1,0
5375354,38,4,1,4,14,0,0,1,0
1052130,29,16,1,3,14,0,0,1,0
2407789,39,15,1,9,13,1,0,1,1
7424998,33,9,1,6,13,0,0,1,0
2740172,72,16,1,10,13,0,0,1,0
5792307,24,9,1,8,13,1,0,1,0
9985964,28,8,0,8,13,0,0,1,1
8487262,48,16,1,11,12,0,0,1,0
3413189,60,1,1,1,13,0,0,1,1
2450562,21,5,1,5,11,1,0,1,0
4076147,25,16,0,6,10,0,0,1,1
5683730,47,8,1,7,14,0,0,0,0
330349,63,9,1,4,10,0,0,1,0
